id,label
20800,1
20801,0
20802,1
20803,0
20804,0
20805,0
20806,0
20807,0
20808,1
20809,0
20810,1
20811,0
20812,1
20813,0
20814,0
20815,1
20816,1
20817,0
20818,0
20819,0
20820,0
20821,0
20822,1
20823,0
20824,0
20825,1
20826,0
20827,1
20828,1
20829,0
20830,0
20831,0
20832,1
20833,1
20834,0
20835,1
20836,0
20837,0
20838,1
20839,1
20840,1
20841,0
20842,0
20843,0
20844,1
20845,0
20846,0
20847,1
20848,0
20849,0
20850,1
20851,1
20852,1
20853,0
20854,0
20855,1
20856,0
20857,1
20858,1
20859,0
20860,0
20861,1
20862,1
20863,0
20864,0
20865,0
20866,1
20867,0
20868,1
20869,0
20870,0
20871,0
20872,1
20873,0
20874,1
20875,1
20876,1
20877,1
20878,0
20879,0
20880,1
20881,0
20882,0
20883,0
20884,1
20885,1
20886,0
20887,1
20888,1
20889,0
20890,0
20891,1
20892,1
20893,0
20894,0
20895,1
20896,1
20897,0
20898,1
20899,1
20900,0
20901,0
20902,0
20903,1
20904,1
20905,1
20906,1
20907,1
20908,0
20909,0
20910,1
20911,0
20912,0
20913,1
20914,0
20915,0
20916,1
20917,1
20918,0
20919,0
20920,0
20921,0
20922,0
20923,0
20924,0
20925,0
20926,0
20927,0
20928,0
20929,1
20930,0
20931,1
20932,0
20933,0
20934,0
20935,1
20936,1
20937,1
20938,1
20939,0
20940,0
20941,0
20942,1
20943,0
20944,0
20945,1
20946,0
20947,0
20948,1
20949,1
20950,0
20951,0
20952,1
20953,0
20954,1
20955,0
20956,0
20957,0
20958,1
20959,0
20960,0
20961,0
20962,0
20963,1
20964,1
20965,0
20966,0
20967,0
20968,0
20969,0
20970,0
20971,1
20972,0
20973,1
20974,1
20975,0
20976,1
20977,0
20978,0
20979,0
20980,1
20981,0
20982,0
20983,0
20984,1
20985,0
20986,1
20987,1
20988,0
20989,0
20990,0
20991,0
20992,1
20993,0
20994,0
20995,1
20996,1
20997,0
20998,0
20999,0
21000,1
21001,0
21002,0
21003,0
21004,0
21005,0
21006,0
21007,1
21008,0
21009,0
21010,1
21011,0
21012,0
21013,0
21014,1
21015,0
21016,0
21017,1
21018,1
21019,1
21020,1
21021,0
21022,1
21023,0
21024,1
21025,0
21026,0
21027,0
21028,1
21029,1
21030,1
21031,1
21032,1
21033,0
21034,0
21035,0
21036,1
21037,1
21038,0
21039,0
21040,0
21041,1
21042,1
21043,0
21044,1
21045,0
21046,0
21047,0
21048,1
21049,0
21050,0
21051,0
21052,1
21053,1
21054,1
21055,0
21056,0
21057,0
21058,0
21059,0
21060,0
21061,0
21062,0
21063,0
21064,0
21065,0
21066,0
21067,0
21068,1
21069,0
21070,1
21071,0
21072,1
21073,0
21074,1
21075,1
21076,1
21077,1
21078,1
21079,1
21080,0
21081,0
21082,0
21083,0
21084,0
21085,1
21086,1
21087,1
21088,0
21089,0
21090,1
21091,0
21092,1
21093,0
21094,1
21095,1
21096,0
21097,0
